frame,time_sec,similarity_pct,is_match,threshold,status
170,5.667,83.27,True,75.0,match
171,5.7,83.54,True,75.0,match
172,5.733,83.91,True,75.0,match
173,5.767,83.89,True,75.0,match
174,5.8,82.01,True,75.0,match
175,5.833,83.65,True,75.0,match
176,5.867,83.72,True,75.0,match
177,5.9,82.50,True,75.0,match
178,5.933,84.42,True,75.0,match
179,5.967,84.20,True,75.0,match
180,6.0,83.72,True,75.0,match
181,6.033,84.03,True,75.0,match
182,6.067,85.02,True,75.0,match
183,6.1,85.01,True,75.0,match
184,6.133,84.48,True,75.0,match
185,6.167,84.08,True,75.0,match
186,6.2,84.50,True,75.0,match
187,6.233,83.52,True,75.0,match
188,6.267,83.52,True,75.0,match
189,6.3,83.89,True,75.0,match
190,6.333,84.92,True,75.0,match
191,6.367,85.10,True,75.0,match
192,6.4,84.75,True,75.0,match
193,6.433,84.73,True,75.0,match
194,6.467,83.86,True,75.0,match
195,6.5,82.98,True,75.0,match
196,6.533,80.67,True,75.0,match
197,6.567,81.18,True,75.0,match
198,6.6,81.98,True,75.0,match
199,6.633,82.48,True,75.0,match
200,6.667,82.09,True,75.0,match
201,6.7,81.17,True,75.0,match
202,6.733,80.37,True,75.0,match
203,6.767,79.94,True,75.0,match
204,6.8,79.44,True,75.0,match
205,6.833,79.42,True,75.0,match
206,6.867,75.69,True,75.0,match
207,6.9,75.08,True,75.0,match
208,6.933,77.00,True,75.0,match
209,6.967,78.68,True,75.0,match
210,7.0,78.80,True,75.0,match
211,7.033,81.05,True,75.0,match
212,7.067,79.61,True,75.0,match
213,7.1,,,75.0,no_face
214,7.133,,,75.0,no_face
215,7.167,,,75.0,no_face
216,7.2,,,75.0,no_face
217,7.233,,,75.0,no_face
218,7.267,,,75.0,no_face
219,7.3,,,75.0,no_face
220,7.333,,,75.0,no_face
221,7.367,,,75.0,no_face
222,7.4,,,75.0,no_face
223,7.433,,,75.0,no_face
224,7.467,,,75.0,no_face
225,7.5,,,75.0,no_face
226,7.533,,,75.0,no_face
227,7.567,,,75.0,no_face
228,7.6,,,75.0,no_face
229,7.633,,,75.0,no_face
230,7.667,,,75.0,no_face
231,7.7,,,75.0,no_face
232,7.733,,,75.0,no_face
233,7.767,,,75.0,no_face
234,7.8,,,75.0,no_face
235,7.833,,,75.0,no_face
236,7.867,,,75.0,no_face
237,7.9,,,75.0,no_face
238,7.933,,,75.0,no_face
239,7.967,,,75.0,no_face
240,8.0,,,75.0,no_face
241,8.033,,,75.0,no_face
242,8.067,,,75.0,no_face
243,8.1,,,75.0,no_face
244,8.133,,,75.0,no_face
245,8.167,,,75.0,no_face
246,8.2,,,75.0,no_face
247,8.233,,,75.0,no_face
248,8.267,,,75.0,no_face
249,8.3,,,75.0,no_face
250,8.333,,,75.0,no_face
251,8.367,,,75.0,no_face
252,8.4,63.68,False,75.0,mismatch
253,8.433,63.68,False,75.0,mismatch
254,8.467,,,75.0,no_face
255,8.5,,,75.0,no_face
256,8.533,,,75.0,no_face
257,8.567,,,75.0,no_face
258,8.6,,,75.0,no_face
259,8.633,,,75.0,no_face
260,8.667,,,75.0,no_face
261,8.7,,,75.0,no_face
262,8.733,,,75.0,no_face
263,8.767,,,75.0,no_face
264,8.8,,,75.0,no_face
265,8.833,,,75.0,no_face
266,8.867,,,75.0,no_face
267,8.9,,,75.0,no_face
268,8.933,,,75.0,no_face
269,8.967,,,75.0,no_face
270,9.0,,,75.0,no_face
271,9.033,,,75.0,no_face
272,9.067,,,75.0,no_face
273,9.1,,,75.0,no_face
274,9.133,,,75.0,no_face
275,9.167,,,75.0,no_face
