frame,time_sec,similarity_pct,is_match,threshold,status
189,6.3,,,75.0,no_face
190,6.333,75.50,True,75.0,match
191,6.367,75.92,True,75.0,match
192,6.4,,,75.0,no_face
193,6.433,,,75.0,no_face
194,6.467,73.14,False,75.0,mismatch
195,6.5,72.76,False,75.0,mismatch
196,6.533,73.22,False,75.0,mismatch
197,6.567,,,75.0,no_face
198,6.6,,,75.0,no_face
199,6.633,76.17,True,75.0,match
200,6.667,76.29,True,75.0,match
201,6.7,74.59,False,75.0,mismatch
202,6.733,75.18,True,75.0,match
203,6.767,75.38,True,75.0,match
204,6.8,74.72,False,75.0,mismatch
205,6.833,75.32,True,75.0,match
206,6.867,77.26,True,75.0,match
207,6.9,77.20,True,75.0,match
208,6.933,78.08,True,75.0,match
209,6.967,77.30,True,75.0,match
210,7.0,78.50,True,75.0,match
211,7.033,78.48,True,75.0,match
212,7.067,79.25,True,75.0,match
213,7.1,79.20,True,75.0,match
214,7.133,78.15,True,75.0,match
215,7.167,77.29,True,75.0,match
216,7.2,78.23,True,75.0,match
217,7.233,77.86,True,75.0,match
218,7.267,77.97,True,75.0,match
219,7.3,77.08,True,75.0,match
220,7.333,76.10,True,75.0,match
221,7.367,78.11,True,75.0,match
222,7.4,77.88,True,75.0,match
223,7.433,78.01,True,75.0,match
224,7.467,78.00,True,75.0,match
225,7.5,77.41,True,75.0,match
226,7.533,77.73,True,75.0,match
227,7.567,79.14,True,75.0,match
228,7.6,78.89,True,75.0,match
229,7.633,79.06,True,75.0,match
230,7.667,77.33,True,75.0,match
231,7.7,76.27,True,75.0,match
232,7.733,77.49,True,75.0,match
233,7.767,75.59,True,75.0,match
234,7.8,76.51,True,75.0,match
235,7.833,77.71,True,75.0,match
236,7.867,77.25,True,75.0,match
237,7.9,79.23,True,75.0,match
238,7.933,80.05,True,75.0,match
239,7.967,78.93,True,75.0,match
240,8.0,79.77,True,75.0,match
241,8.033,80.10,True,75.0,match
242,8.067,,,75.0,no_face
243,8.1,,,75.0,no_face
244,8.133,,,75.0,no_face
245,8.167,,,75.0,no_face
246,8.2,,,75.0,no_face
247,8.233,,,75.0,no_face
248,8.267,,,75.0,no_face
249,8.3,,,75.0,no_face
250,8.333,,,75.0,no_face
251,8.367,83.78,True,75.0,match
252,8.4,83.23,True,75.0,match
253,8.433,82.94,True,75.0,match
254,8.467,81.00,True,75.0,match
255,8.5,82.69,True,75.0,match
256,8.533,81.13,True,75.0,match
257,8.567,79.87,True,75.0,match
258,8.6,79.85,True,75.0,match
259,8.633,78.90,True,75.0,match
260,8.667,77.84,True,75.0,match
261,8.7,77.93,True,75.0,match
262,8.733,78.08,True,75.0,match
263,8.767,79.29,True,75.0,match
264,8.8,79.34,True,75.0,match
265,8.833,79.70,True,75.0,match
266,8.867,80.03,True,75.0,match
267,8.9,79.59,True,75.0,match
268,8.933,78.96,True,75.0,match
269,8.967,81.39,True,75.0,match
270,9.0,80.02,True,75.0,match
271,9.033,80.17,True,75.0,match
272,9.067,80.36,True,75.0,match
273,9.1,83.16,True,75.0,match
274,9.133,82.93,True,75.0,match
275,9.167,85.24,True,75.0,match
276,9.2,83.71,True,75.0,match
277,9.233,84.03,True,75.0,match
278,9.267,83.01,True,75.0,match
279,9.3,82.92,True,75.0,match
280,9.333,83.32,True,75.0,match
281,9.367,83.56,True,75.0,match
282,9.4,83.35,True,75.0,match
283,9.433,82.34,True,75.0,match
284,9.467,82.48,True,75.0,match
285,9.5,78.99,True,75.0,match
286,9.533,83.39,True,75.0,match
287,9.567,82.56,True,75.0,match
288,9.6,83.26,True,75.0,match
289,9.633,81.49,True,75.0,match
290,9.667,81.49,True,75.0,match
291,9.7,83.20,True,75.0,match
292,9.733,81.79,True,75.0,match
293,9.767,82.80,True,75.0,match
294,9.8,82.83,True,75.0,match
295,9.833,83.57,True,75.0,match
296,9.867,82.98,True,75.0,match
297,9.9,83.00,True,75.0,match
298,9.933,84.82,True,75.0,match
299,9.967,84.59,True,75.0,match
300,10.0,84.82,True,75.0,match
301,10.033,85.48,True,75.0,match
302,10.067,83.84,True,75.0,match
303,10.1,85.99,True,75.0,match
304,10.133,86.25,True,75.0,match
305,10.167,83.21,True,75.0,match
306,10.2,82.92,True,75.0,match
307,10.233,82.83,True,75.0,match
308,10.267,80.75,True,75.0,match
309,10.3,85.16,True,75.0,match
310,10.333,85.70,True,75.0,match
311,10.367,88.03,True,75.0,match
312,10.4,89.33,True,75.0,match
313,10.433,89.13,True,75.0,match
314,10.467,89.82,True,75.0,match
315,10.5,90.66,True,75.0,match
316,10.533,90.96,True,75.0,match
317,10.567,90.88,True,75.0,match
318,10.6,89.02,True,75.0,match
319,10.633,90.08,True,75.0,match
320,10.667,89.28,True,75.0,match
321,10.7,89.49,True,75.0,match
322,10.733,89.56,True,75.0,match
323,10.767,89.34,True,75.0,match
324,10.8,89.13,True,75.0,match
325,10.833,85.89,True,75.0,match
326,10.867,86.97,True,75.0,match
327,10.9,88.01,True,75.0,match
328,10.933,88.08,True,75.0,match
329,10.967,88.71,True,75.0,match
330,11.0,88.60,True,75.0,match
331,11.033,87.48,True,75.0,match
332,11.067,88.03,True,75.0,match
333,11.1,87.99,True,75.0,match
334,11.133,88.87,True,75.0,match
335,11.167,88.87,True,75.0,match
336,11.2,88.67,True,75.0,match
337,11.233,88.82,True,75.0,match
338,11.267,88.13,True,75.0,match
339,11.3,87.69,True,75.0,match
340,11.333,88.18,True,75.0,match
341,11.367,87.32,True,75.0,match
342,11.4,87.12,True,75.0,match
343,11.433,87.25,True,75.0,match
344,11.467,87.45,True,75.0,match
345,11.5,86.60,True,75.0,match
346,11.533,86.69,True,75.0,match
347,11.567,88.28,True,75.0,match
348,11.6,88.61,True,75.0,match
349,11.633,88.18,True,75.0,match
350,11.667,86.98,True,75.0,match
351,11.7,87.60,True,75.0,match
352,11.733,87.45,True,75.0,match
353,11.767,87.61,True,75.0,match
354,11.8,88.29,True,75.0,match
355,11.833,88.16,True,75.0,match
356,11.867,89.74,True,75.0,match
357,11.9,89.84,True,75.0,match
358,11.933,89.48,True,75.0,match
359,11.967,90.11,True,75.0,match
360,12.0,90.27,True,75.0,match
361,12.033,89.10,True,75.0,match
362,12.067,89.03,True,75.0,match
363,12.1,89.45,True,75.0,match
364,12.133,89.51,True,75.0,match
365,12.167,89.11,True,75.0,match
366,12.2,90.02,True,75.0,match
367,12.233,90.00,True,75.0,match
368,12.267,90.01,True,75.0,match
369,12.3,89.66,True,75.0,match
370,12.333,89.80,True,75.0,match
371,12.367,89.82,True,75.0,match
372,12.4,89.80,True,75.0,match
373,12.433,89.95,True,75.0,match
374,12.467,89.34,True,75.0,match
375,12.5,89.88,True,75.0,match
376,12.533,89.08,True,75.0,match
377,12.567,89.39,True,75.0,match
378,12.6,89.42,True,75.0,match
379,12.633,89.20,True,75.0,match
380,12.667,89.44,True,75.0,match
381,12.7,90.33,True,75.0,match
382,12.733,89.92,True,75.0,match
383,12.767,89.99,True,75.0,match
384,12.8,89.97,True,75.0,match
385,12.833,89.63,True,75.0,match
386,12.867,89.99,True,75.0,match
387,12.9,89.69,True,75.0,match
388,12.933,90.12,True,75.0,match
389,12.967,90.16,True,75.0,match
390,13.0,89.95,True,75.0,match
391,13.033,90.05,True,75.0,match
392,13.067,90.36,True,75.0,match
393,13.1,90.30,True,75.0,match
394,13.133,90.84,True,75.0,match
395,13.167,89.97,True,75.0,match
396,13.2,89.23,True,75.0,match
397,13.233,88.57,True,75.0,match
398,13.267,87.94,True,75.0,match
